label,label
"Base Image","Base Image"
"Small Image","Small Image"
Thumbnail,Thumbnail
None,None
AllOptional,AllOptional
LastWords,LastWords
FirstWords,FirstWords
"Search for products, categories, ...","Search for products, categories, ..."
Search,Search
Search:,Search:
in,in
Categories,Categories
Products,Products
"Search by","Search by"
Refine,Refine
"Current search","Current search"
"Search for products","Search for products"
"SORT BY","SORT BY"
"Add to Cart","Add to Cart"
result,result
"results found","results found"
seconds,seconds
Relevance,Relevance
"No products for query","No products for query"
"You can try one of the popular search queries","You can try one of the popular search queries"
or,or
"See all products","See all products"
"Selected Filters","Selected Filters"
"Clear all","Clear all"
"Previous page","Previous page"
"Next page","Next page"
to,to
Go,Go
"No results","No results"
"See products in","See products in"
"All departments","All departments"
"or in","or in"
"out of","out of"
